exp_id,model,epoch,epoch_label,lr,dropout,weight_decay,optimizer,batch_size,val_accuracy,val_recall,val_precision,val_specificity,val_f1,Pg,energy_J,duration_s,SPJ,FPJ,EDP_inv,Eg,perfJ
867,vit_b_16,1,epoch_1,0.01,0.0,0.0,SGD,128,0.717,0.7140287522039154,0.7213759317059159,0.9971414119602307,0.7027645941897254,0.3682589047641112,40900.80804270457,198.96065020700917,1.1735709463217243,422065.1335292909,1.22885579081077e-07,0.06086810015824738,9.003707319904579e-06
867,vit_b_16,10,epoch_10,0.01,0.0,0.0,SGD,128,0.8646,0.863532029726553,0.8643780301327173,0.9986323221887463,0.8632690288562991,0.6444704669479423,409653.5984331582,1993.6112698223442,1.1717216737162874,421400.05785440974,1.2244547656774616e-09,0.0006045911699876724,1.5732083629020004e-06
868,vit_b_16,1,epoch_1,0.02,0.0,0.0,SGD,128,0.7676,0.7652005252738381,0.7710870700213366,0.9976525234613344,0.7608039290108606,0.45184861107472724,40882.3131931974,199.90572498203255,1.1741018609481948,422256.0726058045,1.2235995461670355e-07,0.06066259544934463,1.1052422815201965e-05
868,vit_b_16,10,epoch_10,0.02,0.0,0.0,SGD,128,0.8728,0.871682445076428,0.8725810992256009,0.9987151505347752,0.8714912175207924,0.6630106081038999,407655.39277934685,1985.436615510378,1.1774651053366818,423465.63577398576,1.2355228485368546e-09,0.0006160514723008394,1.6263996989799915e-06
869,vit_b_16,1,epoch_1,0.03,0.0,0.0,SGD,128,0.7757,0.7738453936187756,0.7814779392296184,0.9977343417055822,0.7709503560247183,0.4680364068244033,40754.23356602252,198.24118114705198,1.177791748242283,423583.1102070408,1.2377513060810266e-07,0.06175050809893629,1.14843628715573e-05
869,vit_b_16,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8737,0.8724548960745541,0.8733117891328311,0.9987242414508026,0.8722124621489137,0.664844735447918,408333.4974336928,1989.6109297757503,1.1755097316696257,422762.40172539896,1.2308831696662817e-09,0.0006117013215778971,1.628190534517386e-06
870,vit_b_16,1,epoch_1,0.04,0.0,0.0,SGD,128,0.7805,0.7784857545923661,0.7880638517448414,0.9977828265910624,0.7761627427632345,0.477772346407419,41088.329922848476,201.7482250169851,1.1682149186917443,420138.88226691994,1.2063457214569804e-07,0.05920895717012743,1.1627932975239727e-05
870,vit_b_16,10,epoch_10,0.04,0.0,0.0,SGD,128,0.8737,0.8725747951906974,0.8729710959459172,0.9987242414508026,0.8720954112266351,0.6646767008314816,409509.82317303016,1999.1486297347583,1.1721330547843432,421548.00767028116,1.221491903009752e-09,0.0006035517965661965,1.6231031912282987e-06
871,vit_b_16,1,epoch_1,0.25,0.0,0.0,SGD,128,0.5772,0.5771865648170255,0.6463448040200024,0.9957292896706201,0.5773320859869024,0.21441150239034243,40891.11519932914,199.61672915495,1.1738491299642395,422165.1799871482,1.2251072498340198e-07,0.06071119793434924,5.243474073650602e-06
871,vit_b_16,10,epoch_10,0.25,0.0,0.0,SGD,128,0.8356,0.8347399197503778,0.8355631335263566,0.9983393926723036,0.8341749655187907,0.5818447130010929,407330.56728327007,1983.347134777112,1.1784040741194692,423803.32816994115,1.2378107920199191e-09,0.0006181770291994585,1.4284337089695023e-06
